constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
2131492950,com.fsck.k9.activity.Accounts,initializeActionBar,android.view.View,findViewById,$r3 = virtualinvoke $r2.<android.view.View: android.view.View findViewById(int)>(2131492950),mActionBarSubTitle,android.widget.TextView,com.fsck.k9.activity.Accounts
2131492952,com.fsck.k9.activity.Accounts,initializeActionBar,android.view.View,findViewById,$r2 = virtualinvoke $r2.<android.view.View: android.view.View findViewById(int)>(2131492952),mActionBarUnread,android.widget.TextView,com.fsck.k9.activity.Accounts
0,com.fsck.k9.activity.Accounts,initializeActionBar,android.app.ActionBar,setDisplayHomeAsUpEnabled,virtualinvoke $r1.<android.app.ActionBar: void setDisplayHomeAsUpEnabled(boolean)>(0),,,
0,com.fsck.k9.activity.Accounts,onImport,android.content.pm.PackageManager,queryIntentActivities,$r3 = virtualinvoke $r2.<android.content.pm.PackageManager: java.util.List queryIntentActivities(android.content.Intent,int)>($r1, 0),,,
1,com.fsck.k9.activity.Accounts,onImport,com.fsck.k9.activity.Accounts,startActivityForResult,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void startActivityForResult(android.content.Intent,int)>($r1, 1),,,
4,com.fsck.k9.activity.Accounts,onImport,com.fsck.k9.activity.Accounts,showDialog,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void showDialog(int)>(4),,,
1,com.fsck.k9.activity.Accounts,onCheckMail,com.fsck.k9.controller.MessagingController,checkMail,virtualinvoke $r3.<com.fsck.k9.controller.MessagingController: void checkMail(android.content.Context,com.fsck.k9.Account,boolean,boolean,com.fsck.k9.controller.MessagingListener)>($r0, $r1, 1, 1, null),,,
1,com.fsck.k9.activity.Accounts,onCheckMail,com.fsck.k9.controller.MessagingController,checkMail,virtualinvoke $r3.<com.fsck.k9.controller.MessagingController: void checkMail(android.content.Context,com.fsck.k9.Account,boolean,boolean,com.fsck.k9.controller.MessagingListener)>($r0, $r1, 1, 1, null),,,
2131165511,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165511),,,
1,com.fsck.k9.activity.Accounts,onAbout,java.util.Calendar,get,$i0 = virtualinvoke $r4.<java.util.Calendar: int get(int)>(1),,,
2131165189,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r7 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165189),,,
2131166171,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r10 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131166171),,,
2131165593,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165593),,,
2131165506,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165506),,,
2131165505,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r7 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165505),,,
2131165512,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165512),,,
2131166170,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r7 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131166170),,,
2131166170,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r7 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131166170),,,
2131165507,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165507),,,
2131165510,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165510),,,
2131165509,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165509),,,
2131165508,com.fsck.k9.activity.Accounts,onAbout,com.fsck.k9.activity.Accounts,getString,$r3 = virtualinvoke $r0.<com.fsck.k9.activity.Accounts: java.lang.String getString(int)>(2131165508),,,
1,com.fsck.k9.activity.Accounts,onAbout,android.app.AlertDialog$Builder,setCancelable,$r12 = virtualinvoke $r12.<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setCancelable(boolean)>(1),,,
2131165931,com.fsck.k9.activity.Accounts,onAbout,android.app.AlertDialog$Builder,setPositiveButton,$r12 = virtualinvoke $r12.<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setPositiveButton(int,android.content.DialogInterface$OnClickListener)>(2131165931, $r13),,,
2131166163,com.fsck.k9.activity.Accounts,onAbout,android.app.AlertDialog$Builder,setNeutralButton,$r12 = virtualinvoke $r12.<android.app.AlertDialog$Builder: android.app.AlertDialog$Builder setNeutralButton(int,android.content.DialogInterface$OnClickListener)>(2131166163, $r14),,,
2,com.fsck.k9.activity.Accounts,onExport,com.fsck.k9.activity.Accounts,startActivityForResult,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void startActivityForResult(android.content.Intent,int)>($r2, 2),,,
1,com.fsck.k9.activity.Accounts,onDeleteAccount,com.fsck.k9.activity.Accounts,showDialog,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void showDialog(int)>(1),,,
2,com.fsck.k9.activity.Accounts,onClear,com.fsck.k9.activity.Accounts,showDialog,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void showDialog(int)>(2),,,
3,com.fsck.k9.activity.Accounts,onRecreate,com.fsck.k9.activity.Accounts,showDialog,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void showDialog(int)>(3),,,
2,com.fsck.k9.activity.Accounts,onExport,com.fsck.k9.activity.Accounts,startActivityForResult,virtualinvoke $r0.<com.fsck.k9.activity.Accounts: void startActivityForResult(android.content.Intent,int)>($r2, 2),,,
2131165813,com.fsck.k9.search.SearchAccount,createUnifiedInboxAccount,android.content.Context,getString,$r2 = virtualinvoke $r0.<android.content.Context: java.lang.String getString(int)>(2131165813),,,
2131165812,com.fsck.k9.search.SearchAccount,createUnifiedInboxAccount,android.content.Context,getString,$r6 = virtualinvoke $r0.<android.content.Context: java.lang.String getString(int)>(2131165812),,,
2131166007,com.fsck.k9.search.SearchAccount,createAllMessagesAccount,android.content.Context,getString,$r2 = virtualinvoke $r0.<android.content.Context: java.lang.String getString(int)>(2131166007),,,
2131166006,com.fsck.k9.search.SearchAccount,createAllMessagesAccount,android.content.Context,getString,$r6 = virtualinvoke $r0.<android.content.Context: java.lang.String getString(int)>(2131166006),,,
0,com.fsck.k9.Preferences,<init>,android.content.Context,getSharedPreferences,$r5 = virtualinvoke $r1.<android.content.Context: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>("AndroidMail.Main", 0),,,
2130903105,com.fsck.k9.activity.setup.WelcomeMessage,onCreate,com.fsck.k9.activity.setup.WelcomeMessage,setContentView,virtualinvoke $r0.<com.fsck.k9.activity.setup.WelcomeMessage: void setContentView(int)>(2130903105),,,
2131493127,com.fsck.k9.activity.setup.WelcomeMessage,onCreate,com.fsck.k9.activity.setup.WelcomeMessage,findViewById,$r2 = virtualinvoke $r0.<com.fsck.k9.activity.setup.WelcomeMessage: android.view.View findViewById(int)>(2131493127),,,
